group_var,effect,group,value,se,lower_2.5,upper_97.5,model,time_period,experiment
taxon_site,Intercept,Erigeron_canadensis_Hulun Buir,-2.63,0.542,-3.692,-1.568,Hurdle_cond,1,DIST
taxon_site,Intercept,Erigeron_canadensis_Lublin,-2.667,0.541,-3.727,-1.607,Hurdle_cond,1,DIST
taxon_site,Intercept,Erigeron_canadensis_Piedmont Prairie,-3.019,0.242,-3.493,-2.545,Hurdle_cond,1,DIST
taxon_site,Intercept,Erigeron_canadensis_University of Michigan Biological Station,-2.667,0.541,-3.727,-1.607,Hurdle_cond,1,DIST
taxon_site,Intercept,Erophila_verna_Jena,-3.024,0.408,-3.824,-2.224,Hurdle_cond,1,DIST
taxon_site,Intercept,Fragaria_vesca_Bayreuth DRAGNet,-2.745,0.529,-3.782,-1.708,Hurdle_cond,1,DIST
taxon_site,Intercept,Fragaria_vesca_Churning Rapids,-2.553,0.361,-3.261,-1.845,Hurdle_cond,1,DIST
taxon_site,Intercept,Fragaria_vesca_Lublin,-2.112,0.356,-2.81,-1.414,Hurdle_cond,1,DIST
taxon_site,Intercept,Fragaria_vesca_Saihanba,-2.835,0.519,-3.853,-1.817,Hurdle_cond,1,DIST
taxon_site,Intercept,Heteropogon_contortus_Ukulinga,-2.568,0.474,-3.497,-1.639,Hurdle_cond,1,DIST
taxon_site,Intercept,Hypochaeris_radicata_Bayreuth DRAGNet,-2.223,0.277,-2.766,-1.68,Hurdle_cond,1,DIST
taxon_site,Intercept,Hypochaeris_radicata_Cass,-2.786,0.226,-3.228,-2.344,Hurdle_cond,1,DIST
taxon_site,Intercept,Hypochaeris_radicata_CEREEP - Ecotron IDF,-2.711,0.468,-3.628,-1.794,Hurdle_cond,1,DIST
taxon_site,Intercept,Hypochaeris_radicata_Lublin,-2.634,0.542,-3.696,-1.572,Hurdle_cond,1,DIST
taxon_site,Intercept,Hypochaeris_radicata_Nillahcootie,-2.758,0.284,-3.314,-2.202,Hurdle_cond,1,DIST
taxon_site,Intercept,Jacobaea_vulgaris_Ainsdale Dune Slacks,-2.667,0.541,-3.727,-1.607,Hurdle_cond,1,DIST
taxon_site,Intercept,Jacobaea_vulgaris_Algaida,-2.831,0.339,-3.495,-2.167,Hurdle_cond,1,DIST
taxon_site,Intercept,Jacobaea_vulgaris_CEREEP - Ecotron IDF,-2.667,0.541,-3.727,-1.607,Hurdle_cond,1,DIST
taxon_site,Intercept,Jacobaea_vulgaris_Lublin,-2.267,0.43,-3.109,-1.425,Hurdle_cond,1,DIST
taxon_site,Intercept,Knautia_arvensis_Agroscope Changins,-2.74,0.53,-3.779,-1.701,Hurdle_cond,1,DIST
taxon_site,Intercept,Knautia_arvensis_Bayreuth DRAGNet,-1.62,0.377,-2.358,-0.882,Hurdle_cond,1,DIST
taxon_site,Intercept,Knautia_arvensis_WSL,-2.413,0.567,-3.524,-1.302,Hurdle_cond,1,DIST
taxon_site,Intercept,Knautia_arvensis_Wytham Woods,-2.688,0.469,-3.607,-1.769,Hurdle_cond,1,DIST
taxon_site,Intercept,Koeleria_macrantha_Hulun Buir,-2.33,0.25,-2.82,-1.84,Hurdle_cond,1,DIST
taxon_site,Intercept,Lactuca_serriola_Bad Lauchstaedt,-2.667,0.541,-3.727,-1.607,Hurdle_cond,1,DIST
taxon_site,Intercept,Lactuca_serriola_Blandy Experimental Farm,-2.451,0.563,-3.554,-1.348,Hurdle_cond,1,DIST
taxon_site,Intercept,Lactuca_serriola_Jena,-2.171,0.605,-3.357,-0.985,Hurdle_cond,1,DIST
taxon_site,Intercept,Lactuca_serriola_Kniezenberg,-2.667,0.541,-3.727,-1.607,Hurdle_cond,1,DIST
taxon_site,Intercept,Lactuca_serriola_Oak Lake Field Station,-2.726,0.469,-3.645,-1.807,Hurdle_cond,1,DIST
taxon_site,Intercept,Lactuca_serriola_San Claudio,-2.962,0.453,-3.85,-2.074,Hurdle_cond,1,DIST
taxon_site,Intercept,Lactuca_serriola_Wallula Gap Biological Station-North Face,-2.667,0.541,-3.727,-1.607,Hurdle_cond,1,DIST
taxon_site,Intercept,Linum_catharticum_Ainsdale Dune Slacks,-2.667,0.541,-3.727,-1.607,Hurdle_cond,1,DIST
taxon_site,Intercept,Linum_catharticum_Wytham Woods,-2.936,0.357,-3.636,-2.236,Hurdle_cond,1,DIST
taxon_site,Intercept,Lotus_corniculatus_Agroscope Changins,-2.345,0.244,-2.824,-1.866,Hurdle_cond,1,DIST
