MatrixID,SpeciesAuthor,SpeciesAccepted,Family,Class,Kingdom,Authors,DOI_ISBN,YearPublication,Country,Continent,Ecoregion,MatrixPopulation,MatrixTreatment,MatrixStartYear,MatrixStartMonth,MatrixStartSeason,MatrixEndYear,MatrixEndMonth,MatrixEndSeason,MatrixComposite,Lat,Lon,MatrixSplit,MatrixFec,MatrixDimension,OrganismType
238475,Cyrtandra_dentata_2,Cyrtandra dentata,Gesneriaceae,Magnoliopsida,Plantae,Bialic-Murphy; Gaoue; Kawelo,10.1111/1365-2664.12868,2017,USA,N America,TGV,Kahanahaiki,Unmanipulated,2011,NA,NA,2012,NA,NA,Mean,21.533333,-158.2,Divided,NA,4,Shrub
238476,Cyrtandra_dentata_2,Cyrtandra dentata,Gesneriaceae,Magnoliopsida,Plantae,Bialic-Murphy; Gaoue; Kawelo,10.1111/1365-2664.12868,2017,USA,N America,TGV,Kahanahaiki,Unmanipulated,2012,NA,NA,2013,NA,NA,Mean,21.533333,-158.2,Divided,NA,4,Shrub
238477,Cyrtandra_dentata_2,Cyrtandra dentata,Gesneriaceae,Magnoliopsida,Plantae,Bialic-Murphy; Gaoue; Kawelo,10.1111/1365-2664.12868,2017,USA,N America,TGV,Kahanahaiki,Unmanipulated,2013,NA,NA,2014,NA,NA,Mean,21.533333,-158.2,Divided,NA,4,Shrub
238478,Cyrtandra_dentata_2,Cyrtandra dentata,Gesneriaceae,Magnoliopsida,Plantae,Bialic-Murphy; Gaoue; Kawelo,10.1111/1365-2664.12868,2017,USA,N America,TGV,Kahanahaiki,Unmanipulated,2010,NA,NA,2011,NA,NA,Mean,21.533333,-158.2,Divided,NA,4,Shrub
238479,Cyrtandra_dentata_2,Cyrtandra dentata,Gesneriaceae,Magnoliopsida,Plantae,Bialic-Murphy; Gaoue; Kawelo,10.1111/1365-2664.12868,2017,USA,N America,TGV,Kahanahaiki,Unmanipulated,2011,NA,NA,2012,NA,NA,Mean,21.533333,-158.2,Divided,NA,4,Shrub
238480,Cyrtandra_dentata_2,Cyrtandra dentata,Gesneriaceae,Magnoliopsida,Plantae,Bialic-Murphy; Gaoue; Kawelo,10.1111/1365-2664.12868,2017,USA,N America,TGV,Kahanahaiki,Unmanipulated,2012,NA,NA,2013,NA,NA,Mean,21.533333,-158.2,Divided,NA,4,Shrub
238481,Cyrtandra_dentata_2,Cyrtandra dentata,Gesneriaceae,Magnoliopsida,Plantae,Bialic-Murphy; Gaoue; Kawelo,10.1111/1365-2664.12868,2017,USA,N America,TGV,Kahanahaiki,Unmanipulated,2013,NA,NA,2014,NA,NA,Mean,21.533333,-158.2,Divided,NA,4,Shrub
238482,Cystoseira_zosteroides,Cystoseira zosteroides,Fzcaceae,Phaeophyceae,Plantae,Capdevila; Hereu; Riera; Linares,10.1111/1365-2745.12625,2016,ESP,Europe,MED,Equilibrium,Unmanipulated,2010,9,Summer,2012,9,Summer,Mean,39.898056,0.688611,Divided,NA,5,Algae
238489,Daphne_rodriguezii,Daphne rodriguezii,Thymelaeaceae,Magnoliopsida,Plantae,Rodriguez-Perez; Traveset,10.1111/j.1600-0706.2011.19946.x,2012,ESP,Europe,MED,Porter; Mesquida; Pudent; Favàritx; Colom,Unmanipulated,1999,5,Spring,2008,5,Spring,Mean,39.866667,4.133333,Divided,No,5,Shrub
238490,Daphne_rodriguezii,Daphne rodriguezii,Thymelaeaceae,Magnoliopsida,Plantae,Rodriguez-Perez; Traveset,10.1111/j.1600-0706.2011.19946.x,2012,ESP,Europe,MED,Porter,Unmanipulated,1999,5,Spring,2008,5,Spring,Mean,39.866667,4.133333,Divided,Yes,5,Shrub
238500,Daphne_rodriguezii,Daphne rodriguezii,Thymelaeaceae,Magnoliopsida,Plantae,Rodriguez-Perez; Traveset,10.1111/j.1600-0706.2011.19946.x,2012,ESP,Europe,MED,Mesquida,Unmanipulated,1999,5,Spring,2008,5,Spring,Mean,39.9,4.283333,Divided,Yes,5,Shrub
238510,Daphne_rodriguezii,Daphne rodriguezii,Thymelaeaceae,Magnoliopsida,Plantae,Rodriguez-Perez; Traveset,10.1111/j.1600-0706.2011.19946.x,2012,ESP,Europe,MED,Pudent,Unmanipulated,2000,5,Spring,2008,5,Spring,Mean,40.033333,4.15,Divided,Yes,5,Shrub
238519,Daphne_rodriguezii,Daphne rodriguezii,Thymelaeaceae,Magnoliopsida,Plantae,Rodriguez-Perez; Traveset,10.1111/j.1600-0706.2011.19946.x,2012,ESP,Europe,MED,Favàritx,Unmanipulated,2001,5,Spring,2008,5,Spring,Mean,40.05,4.3,Divided,Yes,5,Shrub
238526,Daphne_rodriguezii,Daphne rodriguezii,Thymelaeaceae,Magnoliopsida,Plantae,Rodriguez-Perez; Traveset,10.1111/j.1600-0706.2011.19946.x,2012,ESP,Europe,MED,Colom,Unmanipulated,1999,5,Spring,2008,5,Spring,Mean,39.95,4.266667,Divided,Yes,5,Shrub
238536,Dracocephalum_austriacum_2,Dracocephalum austriacum,Lamiaceae,Magnoliopsida,Plantae,Dostálek; Münzbergová,10.1007/s12224-012-9132-2,2013,CZE,Europe,TBM,Cisarska rokle (C1); Haknovec (C2); Kodska stena (C3); Zadielsky kamen (S1); Domicke skrapy (S2); Zelezne vrata (S3),Unmanipulated,2003,NA,NA,2006,NA,NA,Mean,NA,NA,Divided,NA,4,Herbaceous perennial
238537,Dracocephalum_austriacum_2,Dracocephalum austriacum,Lamiaceae,Magnoliopsida,Plantae,Dostálek; Münzbergová,10.1007/s12224-012-9132-2,2013,CZE,Europe,TBM,Cisarska rokle (C1),Unmanipulated,2003,NA,NA,2006,NA,NA,Mean,49.933333,14.133333,Divided,NA,4,Herbaceous perennial
238538,Dracocephalum_austriacum_2,Dracocephalum austriacum,Lamiaceae,Magnoliopsida,Plantae,Dostálek; Münzbergová,10.1007/s12224-012-9132-2,2013,CZE,Europe,TBM,Cisarska rokle (C1),Unmanipulated,2003,NA,NA,2004,NA,NA,Individual,49.933333,14.133333,Divided,NA,4,Herbaceous perennial
238541,Dracocephalum_austriacum_2,Dracocephalum austriacum,Lamiaceae,Magnoliopsida,Plantae,Dostálek; Münzbergová,10.1007/s12224-012-9132-2,2013,CZE,Europe,TBM,Haknovec (C2),Unmanipulated,2003,NA,NA,2006,NA,NA,Mean,49.933333,14.183333,Divided,Yes,4,Herbaceous perennial
238542,Dracocephalum_austriacum_2,Dracocephalum austriacum,Lamiaceae,Magnoliopsida,Plantae,Dostálek; Münzbergová,10.1007/s12224-012-9132-2,2013,CZE,Europe,TBM,Haknovec (C2),Unmanipulated,2003,NA,NA,2004,NA,NA,Individual,49.933333,14.183333,Divided,Yes,4,Herbaceous perennial
238544,Dracocephalum_austriacum_2,Dracocephalum austriacum,Lamiaceae,Magnoliopsida,Plantae,Dostálek; Münzbergová,10.1007/s12224-012-9132-2,2013,CZE,Europe,TBM,Haknovec (C2),Unmanipulated,2005,NA,NA,2006,NA,NA,Individual,49.933333,14.183333,Divided,Yes,4,Herbaceous perennial
238545,Dracocephalum_austriacum_2,Dracocephalum austriacum,Lamiaceae,Magnoliopsida,Plantae,Dostálek; Münzbergová,10.1007/s12224-012-9132-2,2013,CZE,Europe,TBM,Kodska stena (C3),Unmanipulated,2003,NA,NA,2006,NA,NA,Mean,49.933333,14.133333,Divided,NA,4,Herbaceous perennial
