Taxon,Lat,Lon,Continent,MatrixID,Country,Ecoregion,DOI_ISBN
Alliaria_petiolata,42,-85.966667,N America,241498,USA,TBM,10.1890/11-1291.1
Alliaria_petiolata,42.883333,-84.033333,N America,241499,USA,TBM,10.1890/11-1291.1
Alliaria_petiolata,42.883333,-84.033333,N America,241500,USA,TBM,10.1890/11-1291.1
Alliaria_petiolata,42.883333,-84.033333,N America,241501,USA,TBM,10.1890/11-1291.1
Alliaria_petiolata,42.883333,-84.033333,N America,241502,USA,TBM,10.1890/11-1291.1
Armeria_maritima,50.733333,5.933333,Europe,241685,BEL,TBM,10.2307/2403051
Carduus_nutans,44,3.15,Europe,242147,FRA,MED,10.1111/j.1365-2664.2006.01228.x
Carduus_nutans,44,3.15,Europe,242148,FRA,MED,10.1111/j.1365-2664.2006.01228.x
Carduus_nutans,44,3.15,Europe,242149,FRA,MED,10.1111/j.1365-2664.2006.01228.x
Carduus_nutans,44,3.15,Europe,242150,FRA,MED,10.1111/j.1365-2664.2006.01228.x
Carduus_nutans,NA,NA,Oceania,242153,AUS,TBM,10.1890/05-0195
Carduus_nutans,-36.366667,149.4,Oceania,242154,AUS,TBM,10.1890/05-0195
Carduus_nutans,-40.25,175.716667,Oceania,242155,NZL,TBM,10.1890/05-0195
Centaurea_jacea,52.033333,6.433333,Europe,242234,NLD,TBM,10.1111/j.1365-2745.2005.01003.x
Centaurea_jacea,52.033333,6.433333,Europe,242235,NLD,TBM,10.1111/j.1365-2745.2005.01003.x
Centaurea_jacea,52.033333,6.433333,Europe,242236,NLD,TBM,10.1111/j.1365-2745.2005.01003.x
Centaurea_jacea,52.033333,6.433333,Europe,242237,NLD,TBM,10.1111/j.1365-2745.2005.01003.x
Cirsium_arvense,NA,NA,N America,242332,NA,TBM,10.1890/1051-0761(2006)016[2399:DMISOB]2.0.CO;2
Cirsium_palustre,58.95,17.6,Europe,242350,SWE,FGS,10.1016/j.actao.2007.11.005
Cirsium_palustre,58.95,17.6,Europe,242351,SWE,FGS,10.1016/j.actao.2007.11.005
Cirsium_palustre,58.95,17.6,Europe,242352,SWE,FGS,10.1016/j.actao.2007.11.005
Cirsium_palustre,58.95,17.6,Europe,242353,SWE,FGS,10.1016/j.actao.2007.11.005
Cirsium_vulgare,51.628056,-1.180556,Europe,242473,GBR,TBM,10.2307/2261390
Cirsium_vulgare,51.628056,-1.180556,Europe,242474,GBR,TBM,10.2307/2261390
Cirsium_vulgare,51.628056,-1.180556,Europe,242475,GBR,TBM,10.2307/2261390
Daucus_carota,50.829444,5.8425,Europe,242680,NLD,TBM,10.1111/j.1469-8137.1984.tb04155.x
Echium_vulgare,NA,NA,N America,242943,USA,TGS,10.2307/2259775
Stenaria_nigricans,38.133333,-99.05,N America,243495,USA,TGS,10.1111/j.1365-2745.2009.01585.x
Stenaria_nigricans,38.133333,-99.05,N America,243496,USA,TGS,10.1111/j.1365-2745.2009.01585.x
Stenaria_nigricans,38.133333,-99.05,N America,243497,USA,TGS,10.1111/j.1365-2745.2009.01585.x
Stenaria_nigricans,38.133333,-99.05,N America,243498,USA,TGS,10.1111/j.1365-2745.2009.01585.x
Stenaria_nigricans,38.133333,-99.05,N America,243499,USA,TGS,10.1111/j.1365-2745.2009.01585.x
Stenaria_nigricans,38.133333,-99.05,N America,243500,USA,TGS,10.1111/j.1365-2745.2009.01585.x
Stenaria_nigricans,38.133333,-99.05,N America,243501,USA,TGS,10.1111/j.1365-2745.2009.01585.x
