site_name,New_taxon,local_provenance,new_provenance
Nillahcootie,Hypochaeris_radicata,INT,INT
Nillahcootie,Anthoxanthum_odoratum,INT,INT
Oak Lake Field Station,Cirsium_arvense,NA,NA
Oak Lake Field Station,Andropogon_gerardii,NA,NA
Oak Lake Field Station,Trifolium_pratense,NA,NA
Oak Lake Field Station,Lactuca_serriola,NA,NA
Piedmont Prairie,Erigeron_canadensis,NAT,NAT
Piedmont Prairie,Andropogon_gerardii,NAT,NAT
Piedmont Prairie,Verbascum_thapsus,NA,INT
Piedmont Prairie,Rhus_copallinum,NA,NA
Piedmont Prairie,Carduus_nutans,NA,NA
Potrok Aike,Armeria_maritima,NAT,NAT
Saihanba,Picris_hieracioides,NAT,NAT
Saihanba,Fragaria_vesca,NA,NA
San Claudio,Cirsium_vulgare,INT,INT
San Claudio,Lactuca_serriola,INT,INT
GCE LTER - Sapelo Island,Spartina_alterniflora,NAT,NAT
Sandflats,Bromus_tectorum,INT,INT
Sandflats,Salsola_kali,INT,INT
Shortgrass Steppe LTER,Sphaeralcea_coccinea,NAT,NAT
Shortgrass Steppe LTER,Bromus_tectorum,INT,INT
Shortgrass Steppe LTER,Tragopogon_dubius,INT,INT
Stoderzinken,Primula_elatior,NAT,NAT
Stoderzinken,Trifolium_pratense,NAT,NAT
Stoderzinken,Rhinanthus_minor,NAT,NAT
Stoderzinken,Cerastium_fontanum,NAT,NAT
Stoderzinken,Plantago_media,NAT,NAT
Stoderzinken,Achillea_millefolium,NAT,NAT
Stoderzinken,Ranunculus_bulbosus,NAT,NAT
Stoderzinken,Ranunculus_acris,NAT,NAT
Stoderzinken,Ranunculus_repens,NAT,NAT
Stoderzinken,Poa_alpina,NAT,NAT
Temple,Stenaria_nigricans,NAT,NAT
Temple,Andropogon_gerardii,NAT,NAT
Temple,Lactuca_serriola,NA,NA
Ukulinga,Themeda_triandra,NAT,NAT
Ukulinga,Heteropogon_contortus,NAT,NAT
Ukulinga,Scabiosa_columbaria,NAT,NAT
Ukulinga,Cirsium_vulgare,INT,INT
Ukulinga,Lantana_camara,INT,INT
University of Michigan Biological Station,Centaurea_stoebe,INT,INT
University of Michigan Biological Station,Verbascum_thapsus,INT,INT
University of Michigan Biological Station,Erigeron_canadensis,NAT,NAT
University of Michigan Biological Station,Cirsium_vulgare,INT,INT
University of Michigan Biological Station,Tragopogon_dubius,NA,INT
University of Wyoming - SAREC,Tragopogon_dubius,NA,INT
University of Wyoming - SAREC,Bromus_tectorum,NA,INT
University of Wyoming - SAREC,Lactuca_serriola,NA,INT
WSL,Trifolium_pratense,NAT,NAT
WSL,Ranunculus_acris,NAT,NAT
WSL,Veronica_arvensis,NAT,NAT
