AccSpeciesName,LA_mean,LDMC_mean,SLA_mean,percent_c,percent_s,percent_r,C : S : R ,Strategy class,S (%),C (%),R (%),Red,Green,Blue,Colour values in SigmaPlot 
Onopordum acanthium,154882,21.30666666666667,14.25,89.12506934,6.315054278,4.55987638,89 : 6 : 5 %,C,6.315054278,89.12506934,4.55987638,227,16,12,"@rgb(227,16,12)"
Oxalis dillenii,353.3507143,16.34536824432024,54.18490634,15.5822678,0,84.4177322,16 : 0 : 84 %,R,0,15.5822678,84.4177322,40,0,215,"@rgb(40,0,215)"
Oxalis stricta,805.093913,15.17512071228236,57.52084443,23.21211475,0,76.78788525,23 : 0 : 77 %,R/CR,0,23.21211475,76.78788525,59,0,196,"@rgb(59,0,196)"
Panicum acuminatum,385.8081647,40.92144430930599,24.48126262,10.46675774,60.52867508,29.00456719,10 : 61 : 29 %,S/SR,60.52867508,10.46675774,29.00456719,27,154,74,"@rgb(27,154,74)"
Panicum anceps,4746.756522,32.11649494549999,20.14192028,40.59096682,39.02525769,20.38377549,41 : 39 : 20 %,CS/CSR,39.02525769,40.59096682,20.38377549,104,100,52,"@rgb(104,100,52)"
Panicum capillare,2963.642353,28.52851760223255,27.2542739,34.08231915,34.70905027,31.20863058,34 : 35 : 31 %,CSR,34.70905027,34.08231915,31.20863058,87,89,80,"@rgb(87,89,80)"
Panicum clandestinum,2046.36,28.53741830065361,23.68092021,31.00740851,38.81932327,30.17326823,31 : 39 : 30 %,CSR,38.81932327,31.00740851,30.17326823,79,99,77,"@rgb(79,99,77)"
Panicum dichotomiflorum,12006.55931,21.655563081822848,24.01840947,61.80398563,14.68555175,23.51046262,62 : 15 : 24 %,C/CSR,14.68555175,61.80398563,23.51046262,158,37,60,"@rgb(158,37,60)"
Panicum oligosanthes,389.5277619,31.090633420084885,23.21201489,13.23706996,52.39891815,34.36401188,13 : 52 : 34 %,SR/CSR,52.39891815,13.23706996,34.36401188,34,134,88,"@rgb(34,134,88)"
Papaver rhoeas,583.6577069,19.778526796069002,26.41316971,24.10220178,20.68724104,55.21055718,24 : 21 : 55 %,R/CSR,20.68724104,24.10220178,55.21055718,61,53,141,"@rgb(61,53,141)"
Parentucellia viscosa,3250,16.873250000000002,24.215,55.44775523,1.769142002,42.78310277,55 : 2 : 43 %,CR,1.769142002,55.44775523,42.78310277,141,5,109,"@rgb(141,5,109)"
Parthenocissus quinquefolia,10984.93847,17.856702495001482,28.59135743,64.76156428,4.511142995,30.72729272,65 : 5 : 31 %,C/CR,4.511142995,64.76156428,30.72729272,165,12,78,"@rgb(165,12,78)"
Pastinaca sativa,7406.7325,20.46930157608255,15.75913755,66.44377333,16.09447845,17.46174822,66 : 16 : 17 %,C/CR,16.09447845,66.44377333,17.46174822,169,41,45,"@rgb(169,41,45)"
Penstemon albidus,218.4,27.490199999999998,9.6923195,17.26947139,82.73052861,0,17 : 83 : 0 %,S/CS,82.73052861,17.26947139,0,44,211,0,"@rgb(44,211,0)"
Phalaris arundinacea,1967.592957,29.303522137304554,22.8199852,30.33653937,40.72866839,28.93479224,30 : 41 : 29 %,CSR,40.72866839,30.33653937,28.93479224,77,104,74,"@rgb(77,104,74)"
Phleum alpinum,582.9599606,32.241698529506515,21.01504718,16.67170254,53.78513093,29.54316653,17 : 54 : 30 %,S/CSR,53.78513093,16.67170254,29.54316653,43,137,75,"@rgb(43,137,75)"
Phleum pratense,1017.123546,32.76479177490976,23.38038371,20.88291733,49.15051554,29.96656713,21 : 49 : 30 %,S/CSR,49.15051554,20.88291733,29.96656713,53,125,76,"@rgb(53,125,76)"
Phyla nodiflora,140,15.283554543942254,17.87653259,20.31568297,0,79.68431703,20 : 0 : 80 %,R/CR,0,20.31568297,79.68431703,52,0,203,"@rgb(52,0,203)"
